C5H6O5,α-ketoglutaric acid
AuCl,gold chloride
NaCNO,sodium cyanate
C10H12O2,hinokitiol
Ni(H2PO)2,nickel(ii) hypophosphite hexahydrate
Na2N2O2,sodium hyponitrite
C22H23ClN2O2,loratadine
C6H4N4,tricyanoaminopropene
TaCl5,tantalum(v) chloride
HgSeO3,mercury(ii) selenite
C18H24O4,estetrol
F3Ti,titanium trifluoride
CH3CH2CH2CH2OH,butan-1-ol
MgCrO4,magnesium chromate
Mg(OH)2,magnesium hydroxide
Sb2OS2,antimony oxysulfide (page does not exist)
FW,tungsten monofluoride
HgO,mercury(ii) oxide
NaAsO2,sodium metaarsenite
InBr,indium(i) bromide
HClO3,chloric acid
N2O4,dinitrogen tetroxide
C8H6N2O2,indazolium-3-carboxylate
CF3Cl,chlorotrifluoromethane
C6H5I,iodobenzene
Cd(TaO3)2,cadmium metatantalate
F2Hg2,mercury fluoride
(C12H14CaO12)n,calcium alginate
Ca(OH)2,calcium hydroxide
MoS2,molybdenum sulfide
C158H251N39O46S,beta-endorphin
EuSO4,europium(ii) sulfate
NaCa2(Al5Si5O20),thomsonite
RbCNO,rubidium cyanate
CH2CHOH,ethenol
GaBr3,gallium(iii) bromide
(CH3)2CHOH,isopropyl alcohol
IBr3,iodine(iii) bromide
C5H9NO2,proline
C4H7NO4,aspartic acid
CH5N3,guanidine
Cu2S,copper(i) sulfide
TiCl2I2,titanium(iv) dichlorodiiodide
Ba(IO2)2,barium iodite
WBr4,tungsten(iv) bromide
F4Hf,hafnium fluoride
C6H4ClNO2,2-chloronicotinic acid
RbIO,rubidium hypoiodite
CFCl3,freon-11
F4Ti,titanium fluoride
C17H36,heptadecane
Fe(SCN)3,iron(iii) thiocyanate
F4Mg2,dimagnesium tetrafluoride
C14H14Cl2N2O,enilconazole
N2H4,hydrazine
NaTaO3,sodium metatantalate
CaB6,calcium boride
F4Xe,xenon tetrafluoride
SO3,sulfur trioxide
Zn2SiO4,zinc orthosilicate
C6H9N3O3,metronidazole
BaSeO3,barium selenite
K3PO4,tripotassium phosphate
YbSe,ytterbium(ii) selenide
(CH3)2C2O4,dimethyl oxalate
C7H5Br3O,"2,4,6-tribromoanisole"
C62H89CoN13O15P,hydroxocobalamin
CdI2,cadmium iodide
Mg(BrO3)2,magnesium bromate
Fe(OH)3,iron(iii) hydroxide
InCl3·4H2O,indium(iii) chloride tetrahydrate
SrHfO3,strontium hafnate
CsOH,caesium hydroxide
C2H5OH,ethanol
MgSeO4,magnesium selenate
YbSi2,ytterbium(ii) silicide
VN,vanadium nitride
WC,tungsten carbide
F6Os,osmium hexafluoride
Ba(AsO3)2,barium arsenite
ZnCr2O4,zinc chromite
NiBr2,nickel(ii) bromide trihydrate
F4Zr,zirconium tetrafluoride
